log(shear rate) in s^-1,Polymer conc(wt%),NaCl concentration(wt%),Ca+2 concentration(wt%),Temperature(in celsius),log(viscosity) in cP
49.091,0.1,4,0,25,4.89766
102.301,0.1,4,0,25,4.2513
0.0104607,0.05,4,0,25,2.58649
0.0170739,0.05,4,0,25,2.59454
0.0328117,0.05,4,0,25,2.60533
0.0605331,0.05,4,0,25,2.61548
0.102919,0.05,4,0,25,2.62431
0.223555,0.05,4,0,25,2.63726
0.50583,0.05,4,0,25,2.65097
1.09874,0.05,4,0,25,2.66406
2.2002,0.05,4,0,25,2.87875
4.77605,0.05,4,0,25,2.49948
10.3776,0.05,4,0,25,2.70231
22.5417,0.05,4,0,25,2.71566
46.9899,0.05,4,0,25,2.53603
102.069,0.05,4,0,25,2.54855
0.01055,0.1,0.5,0,25,20.5612
0.0218862,0.1,0.5,0,25,20.7452
0.0454034,0.1,0.5,0,25,20.931
0.106372,0.1,0.5,0,25,21.1497
0.239308,0.1,0.5,0,25,21.3602
0.496298,0.1,0.5,0,25,20.0882
1.07218,0.1,0.5,0,25,20.2781
2.22357,0.1,0.5,0,25,19.0705
4.60857,0.1,0.5,0,25,15.582
10.3649,0.1,0.5,0,25,14.6686
21.4889,0.1,0.5,0,25,12.8584
48.2994,0.1,0.5,0,25,10.5167
72.4,0.1,0.5,0,25,9.18246
104.247,0.1,0.5,0,25,8.59723
0.0105011,0.1,2,0,25,7.16156
0.0151297,0.1,2,0,25,7.71754
0.0266883,0.1,2,0,25,7.77123
0.0470775,0.1,2,0,25,7.82529
0.101704,0.1,2,0,25,7.89926
0.219649,0.1,2,0,25,7.43252
0.474519,0.1,2,0,25,7.50277
1.02513,0.1,2,0,25,7.57369
2.21533,0.1,2,0,25,8.20218
4.98237,0.1,2,0,25,7.72137
9.5281,0.1,2,0,25,7.25436
22.3226,0.1,2,0,25,7.33018
48.18,0.1,2,0,25,5.99229
99.9505,0.1,2,0,25,6.04593
0.0102032,0.2,0.5,0,25,96.5967
0.0220349,0.2,0.5,0,25,90.1337
0.0476012,0.2,0.5,0,25,90.1337
0.107086,0.2,0.5,0,25,90.1337
0.231263,0.2,0.5,0,25,84.1031
0.479741,0.2,0.5,0,25,84.1031
0.994892,0.2,0.5,0,25,78.476
2.14727,0.2,0.5,0,25,63.7546
4.82616,0.2,0.5,0,25,51.7947
10.4131,0.2,0.5,0,25,39.2631
22.4676,0.2,0.5,0,25,29.7635
46.551,0.2,0.5,0,25,22.5623
72.6651,0.2,0.5,0,25,19.6441
104.595,0.2,0.5,0,25,17.1034
0.010564,0.2,2,0,25,25.914
0.0210437,0.2,2,0,25,25.914
0.0492994,0.2,2,0,25,25.914
0.106467,0.2,2,0,25,24.1801
0.22086,0.2,2,0,25,24.1801
0.477116,0.2,2,0,25,24.1801
0.95072,0.2,2,0,25,25.914
2.22658,0.2,2,0,25,24.1801
4.80854,0.2,2,0,25,22.5623
9.96896,0.2,2,0,25,19.6441
20.6611,0.2,2,0,25,15.9591
42.8473,0.2,2,0,25,14.8913
66.8633,0.2,2,0,25,12.0978
96.2734,0.2,2,0,25,11.2884
0.00984521,0.3,0.5,0,25,292.527
0.0222185,0.3,0.5,0,25,313.502
0.0500963,0.3,0.5,0,25,272.954
0.10419,0.3,0.5,0,25,272.954
0.225692,0.3,0.5,0,25,272.954
0.469107,0.3,0.5,0,25,237.651
1.01523,0.3,0.5,0,25,193.07
2.10953,0.3,0.5,0,25,156.852
4.38203,0.3,0.5,0,25,118.902
10.281,0.3,0.5,0,25,84.1031
22.2362,0.3,0.5,0,25,59.4889
32.0385,0.3,0.5,0,25,48.3293
48.0934,0.3,0.5,0,25,42.0785
104.018,0.3,0.5,0,25,29.7635
0.0101946,0.3,2,0,25,78.476
0.0211962,0.3,2,0,25,73.2254
0.049806,0.3,2,0,25,73.2254
0.099457,0.3,2,0,25,73.2254
0.215439,0.3,2,0,25,73.2254
0.466674,0.3,2,0,25,73.2254
1.05222,0.3,2,0,25,63.7546
2.1884,0.3,2,0,25,63.7546
4.73605,0.3,2,0,25,51.7947
10.2496,0.3,2,0,25,42.0785
21.2976,0.3,2,0,25,34.1849
46.0914,0.3,2,0,25,27.7721
69.146,0.3,2,0,25,21.0527
99.719,0.3,2,0,25,21.0527
0.00975595,0.3,0.1,0.05,25,38.7067
0.0212561,0.3,0.1,0.05,25,41.526
0.0482342,0.3,0.1,0.05,25,41.526
0.100842,0.3,0.1,0.05,25,41.526
0.219575,0.3,0.1,0.05,25,38.7067
0.478257,0.3,0.1,0.05,25,38.7067
1.08526,0.3,0.1,0.05,25,38.7067
2.17783,0.3,0.1,0.05,25,38.7067
4.73909,0.3,0.1,0.05,25,31.3461
10.319,0.3,0.1,0.05,25,29.2179
22.4547,0.3,0.1,0.05,25,23.6617
46.9013,0.3,0.1,0.05,25,19.1621
70.6073,0.3,0.1,0.05,25,16.6485
102.028,0.3,0.1,0.05,25,14.4646
0.00972244,0.3,0.1,0.1,25,17.8611
0.0211765,0.3,0.1,0.1,25,17.8611
0.0480536,0.3,0.1,0.1,25,17.8611
0.100464,0.3,0.1,0.1,25,17.8611
0.151337,0.3,0.1,0.1,25,17.8611
0.210037,0.3,0.1,0.1,25,17.8611
0.457481,0.3,0.1,0.1,25,17.8611
0.996753,0.3,0.1,0.1,25,19.1621
2.16967,0.3,0.1,0.1,25,16.6485
4.72577,0.3,0.1,0.1,25,16.6485
9.48339,0.3,0.1,0.1,25,16.6485
21.5129,0.3,0.1,0.1,25,15.5181
44.9342,0.3,0.1,0.1,25,12.5671
101.869,0.3,0.1,0.1,25,10.1773
0.0101101,0.3,0.1,0.15,25,11.7139
0.0152297,0.3,0.1,0.15,25,11.7139
0.0229489,0.3,0.1,0.15,25,12.5671
0.0460525,0.3,0.1,0.15,25,12.5671
0.104469,0.3,0.1,0.15,25,11.7139
0.218479,0.3,0.1,0.15,25,12.5671
0.456624,0.3,0.1,0.15,25,11.7139
0.994573,0.3,0.1,0.15,25,11.7139
2.16628,0.3,0.1,0.15,25,11.7139
4.71838,0.3,0.1,0.15,25,11.7139
9.86148,0.3,0.1,0.15,25,10.9186
22.3636,0.3,0.1,0.15,25,9.48635
44.864,0.3,0.1,0.15,25,8.84229
97.6877,0.3,0.1,0.15,25,8.24196
0.0101101,0.3,1,0.05,25,11.7139
0.0152297,0.3,1,0.05,25,11.7139
0.0229489,0.3,1,0.05,25,12.5671
0.0460525,0.3,1,0.05,25,12.5671
0.104469,0.3,1,0.05,25,11.7139
0.218479,0.3,1,0.05,25,12.5671
0.456624,0.3,1,0.05,25,11.7139
0.994573,0.3,1,0.05,25,11.7139
2.16628,0.3,1,0.05,25,11.7139
4.71838,0.3,1,0.05,25,11.7139
9.86148,0.3,1,0.05,25,10.9186
22.3636,0.3,1,0.05,25,9.48635
44.864,0.3,1,0.05,25,8.84229
97.6877,0.3,1,0.05,25,8.24196
0.00973554,0.3,1,0.1,25,23.6617
0.0220277,0.3,1,0.1,25,23.6617
0.0440949,0.3,1,0.1,25,23.6617
0.103927,0.3,1,0.1,25,23.6617
0.216709,0.3,1,0.1,25,23.6617
0.470861,0.3,1,0.1,25,25.3852
1.02276,0.3,1,0.1,25,25.3852
2.22153,0.3,1,0.1,25,25.3852
4.82387,0.3,1,0.1,25,23.6617
10.0556,0.3,1,0.1,25,22.0552
20.955,0.3,1,0.1,25,19.1621
32.8135,0.3,1,0.1,25,16.6485
49.3118,0.3,1,0.1,25,13.4825
102.857,0.3,1,0.1,25,14.4646
0.00972038,0.3,1,0.15,25,16.6485
0.0194582,0.3,1,0.15,25,16.6485
0.0422782,0.3,1,0.15,25,17.8611
0.103765,0.3,1,0.15,25,16.6485
0.216372,0.3,1,0.15,25,16.6485
0.469981,0.3,1,0.15,25,16.6485
1.02085,0.3,1,0.15,25,16.6485
2.12867,0.3,1,0.15,25,16.6485
4.62369,0.3,1,0.15,25,16.6485
9.63533,0.3,1,0.15,25,14.4646
20.9158,0.3,1,0.15,25,12.5671
32.7726,0.3,1,0.15,25,12.5671
49.2811,0.3,1,0.15,25,11.7139
102.633,0.3,1,0.15,25,8.84229
0.00959996,0.3,4,0.05,25,33.0659
0.015042,0.3,4,0.05,25,33.1581
0.0255742,0.3,4,0.05,25,33.2674
0.0400716,0.3,4,0.05,25,33.3602
0.0944446,0.3,4,0.05,25,31.227
0.205143,0.3,4,0.05,25,33.6997
0.445591,0.3,4,0.05,25,33.8622
1.0082,0.3,4,0.05,25,34.0341
2.1023,0.3,4,0.05,25,31.8336
4.56641,0.3,4,0.05,25,27.7306
9.14098,0.3,4,0.05,25,24.1443
20.6825,0.3,4,0.05,25,21.0377
50.7778,0.3,4,0.05,25,15.8996
97.5802,0.3,4,0.05,25,14.864
0.00959996,0.3,4,0.1,25,24.8513
0.015042,0.3,4,0.1,25,24.9206
0.0245511,0.3,4,0.1,25,24.9964
0.0417414,0.3,4,0.1,25,25.0788
0.0944446,0.3,4,0.1,25,27.0716
0.213691,0.3,4,0.1,25,27.209
0.483501,0.3,4,0.1,25,25.4627
0.967867,0.3,4,0.1,25,27.4651
2.1023,0.3,4,0.1,25,25.6959
4.38373,0.3,4,0.1,25,25.8132
9.91868,0.3,4,0.1,25,20.942
19.0608,0.3,4,0.1,25,21.027
52.8937,0.3,4,0.1,25,14.8077
97.5802,0.3,4,0.1,25,12.8861
0.01,0.3,4,0.15,25,20.0648
0.0144402,0.3,4,0.15,25,21.599
0.0245511,0.3,4,0.15,25,21.6702
0.0417414,0.3,4,0.15,25,21.7416
0.0906665,0.3,4,0.15,25,21.8465
0.205143,0.3,4,0.15,25,21.9574
0.445591,0.3,4,0.15,25,20.5429
1.05021,0.3,4,0.15,25,20.6524
2.0182,0.3,4,0.15,25,22.2709
4.56641,0.3,4,0.15,25,19.4053
9.5219,0.3,4,0.15,25,18.1507
22.4421,0.3,4,0.15,25,16.99
44.9244,0.3,4,0.15,25,14.7927
93.6766,0.3,4,0.15,25,12.8828
0.0101444,0.2,1,0,50,25.383
0.0179602,0.2,1,0,50,23.5772
0.0359518,0.2,1,0,50,23.4775
0.0636908,0.2,1,0,50,25.0998
0.103953,0.2,1,0,50,25.0248
0.216759,0.2,1,0,50,24.9127
0.490278,0.2,1,0,50,23.1059
1.02231,0.2,1,0,50,23.0024
2.13102,0.2,1,0,50,21.3447
4.62868,0.2,1,0,50,21.2439
10.0475,0.2,1,0,50,18.37
20.9246,0.2,1,0,50,13.8047
47.2988,0.2,1,0,50,11.124
98.5337,0.2,1,0,50,8.96832
0.0101317,0.2,1,0,70,19.1606
0.0165365,0.2,1,0,70,19.1033
0.0359294,0.2,1,0,70,20.3979
0.0996702,0.2,1,0,70,18.8949
0.207829,0.2,1,0,70,18.8103
0.451415,0.2,1,0,70,18.7214
0.980497,0.2,1,0,70,18.6329
2.12903,0.2,1,0,70,17.2858
4.62148,0.2,1,0,70,14.9474
9.63654,0.2,1,0,70,14.8805
20.075,0.2,1,0,70,11.9969
31.4351,0.2,1,0,70,10.3946
55.6371,0.2,1,0,70,8.99967
98.4723,0.2,1,0,70,7.79191
0.0101097,0.2,1,0,90,11.7131
0.0165056,0.2,1,0,90,12.5287
0.0330402,0.2,1,0,90,12.4758
0.0609527,0.2,1,0,90,12.4292
0.103629,0.2,1,0,90,12.389
0.207441,0.2,1,0,90,12.3366
0.450572,0.2,1,0,90,12.2783
0.978665,0.2,1,0,90,12.2203
2.12439,0.2,1,0,90,10.5671
4.4297,0.2,1,0,90,10.5198
9.62154,0.2,1,0,90,10.4701
20.8724,0.2,1,0,90,7.86608
47.1958,0.2,1,0,90,6.80026
70.991,0.2,1,0,90,6.78333
